Data;;Taxa de juros nominal - Over / Selic
2002.01;;19,99
2002.04;;19,28
2002.07;;20,13
2002.10;;21,7
2003.01;;26,38
2003.04;;24,9
2003.07;;28,02
2003.10;;21,56
2004.01;;16,35
2004.04;;15,12
2004.07;;16,63
2004.10;;15,53
2005.01;;17,88
2005.04;;18,3
2005.07;;19,7
2005.10;;18,3
2006.01;;18,58
2006.04;;13,76
2006.07;;14,98
2006.10;;13,89
2007.01;;13,76
2007.04;;11,88
2007.07;;12,28
2007.10;;11,75
2008.01;;11,75
2008.04;;11,35
2008.07;;13,62
2008.10;;15,12
2009.01;;13,35
2009.04;;10,56
2009.07;;9,9
2009.10;;8,6
2010.01;;8,21
2010.04;;8,34
2010.07;;10,82
2010.10;;10,16
2011.01;;10,82
2011.04;;10,56
2011.07;;12,28
2011.10;;11,09
2012.01;;11,22
2012.04;;8,86
2012.07;;8,47
2012.10;;7,57
2013.01;;7,44
2013.04;;7,57
2013.07;;8,99
2013.10;;10,16
2014.01;;10,69
2014.04;;10,3
2014.07;;12,01
2014.10;;12,01
2015.01;;11,88
2015.04;;12,01
2015.07;;15,12
2015.10;;14,16
2016.01;;13,49
2016.04;;13,49
2016.07;;14,16
2016.10;;13,35
2017.01;;13,89
2017.04;;9,9
2017.07;;10,03
2017.10;;7,96
2018.01;;7,19
2018.04;;6,42
2018.07;;6,68
2018.10;;6,68
2019.01;;6,68
2019.04;;6,42
2019.07;;7,06
2019.10;;5,91
2020.01;;4,66
2020.04;;3,41
2020.07;;2,3
2020.10;;1,94
2021.01;;1,81
2021.04;;2,55
2021.07;;4,41
2021.10;;6,04
2022.01;;9,12
2022.04;;10,43
2022.07;;13,08
2022.10;;12,95
2023.01;;14,3
